# Fix print output for fix 2
10000 4.5731066969334e-32 8.07724970345862e-28 0 8.07770701412831e-28
11000 0.331597862940598 0.342892946665724 0.340800748432823 1.01529155803915
12000 0.499501018670823 0.497799106604692 0.438896033375292 1.43619615865081
13000 0.708538203385119 0.715623992035814 0.608156285835931 2.03231848125686
14000 0.870881306851028 0.890338116303982 0.70983258104385 2.47105200419886
15000 1.01080927829313 1.06845983912776 0.834303902501353 2.91357301992224
16000 1.22890635030945 1.27915310732607 0.993105645926817 3.50116510356234
17000 1.40486687602845 1.44518217645359 1.08838964911775 3.93843870159979
18000 1.53527345408226 1.56249686464643 1.20004651868355 4.29781683741224
19000 1.65253126558442 1.71677545932319 1.30061499181026 4.66992171671788
20000 1.82165784125583 1.9086121566345 1.47909877588261 5.20936877377294
21000 1.9869244070678 2.05215700538988 1.564124307875 5.60320572033269
22000 2.12841661687446 2.19118616081625 1.69812980075552 6.01773257844623
23000 2.30687306241433 2.3425313409183 1.84445691680556 6.49386132013819
24000 2.50031609632064 2.50553381679985 1.97714509065968 6.98299500378017
25000 2.62568748209389 2.66845944080915 2.03159990955155 7.32574683245459
26000 2.8601293037021 2.86590193579255 2.22066007940533 7.94669131889999
27000 3.08972469417957 3.00736705658489 2.38101982124097 8.47811157200544
28000 3.28649208218266 3.18154586908086 2.44379620654593 8.91183415780945
29000 3.40726828974349 3.31295542615781 2.56993782576862 9.29016154166992
30000 3.5647589133994 3.47053628447156 2.76877965259796 9.80407485046891
31000 3.77854628820133 3.64699570261723 2.88519798639181 10.3107399772104
32000 3.8874154354711 3.81847500029798 2.91957745758766 10.6254678933567
33000 4.03037511051923 3.95031124465539 3.07423994420075 11.0549262993754
34000 4.15538107268254 4.15588210853954 3.23871608614866 11.5499792673707
35000 4.38195879284509 4.31051757395468 3.34998549433946 12.0424618611392
36000 4.52501562196107 4.40191823127909 3.37802396369208 12.3049578169322
37000 4.63837550333192 4.64308903002126 3.58278607545913 12.8642506088123
38000 4.86793015576394 4.82926480147619 3.73597623908187 13.433171196322
39000 5.11023918023615 4.963730461829 3.80312407208417 13.8770937141493
